"p","lde","len"
"http://dbpedia.org/ontology/hipSize","Hüftumfang (μ)","hip size (μ)"
"http://dbpedia.org/ontology/waistSize","Taillenumfang (μ)","waist size (μ)"
"http://dbpedia.org/ontology/bustSize",,"bust size (μ)"
"http://dbpedia.org/ontology/worldChampionTitleYear",,"year of world champion title"
"http://dbpedia.org/ontology/deputy","Stellvertreter","deputy"
"http://dbpedia.org/ontology/mbaId",,"MBA Id"
"http://dbpedia.org/ontology/supplementalDraftRound",,"supplemental draft round"
"http://dbpedia.org/ontology/supplementalDraftYear",,"supplemental draft year"
"http://dbpedia.org/ontology/bnfId",,"BNF Id"
"http://dbpedia.org/ontology/lccnId",,"LCCN Id"
"http://dbpedia.org/ontology/viafId",,"VIAF Id"
"http://dbpedia.org/ontology/individualisedGnd","Gemeinsame Normdatei","individualised GND number"
"http://dbpedia.org/ontology/isniId",,"ISNI Id"
"http://dbpedia.org/ontology/espnId",,"ESPN id"
